cid,nlane,turn,dnroad,geom,len
5247_5217,3,S#U,5217_5193#5217_5247,0105000020E61000000100000001020000000800000068F0F18898AF5D404003975FB7FB3E4050D7DBB298AF5D40C0334AD99AFB3E40006738F197AF5D4070D603FA85FB3E4028C35E1995AF5D40A05A56646BFB3E40A80FD71690AF5D40B02B264349FB3E4018C6188387AF5D40D03628E816FB3E40F82776A97BAF5D40C0F74B26CFFA3E4028D1C46E71AF5D40508BC0E689FA3E40,566.402630303263
4554_4634,3,S#R#U#L,4634_4732#4634_4642#4634_4554#4634_4664,0105000020E610000001000000010200000009000000FB8990DB2BB15D408042A0A7BFEE3E401629BD0421B15D40B99E113A22EF3E40E68C305E16B15D406995D37D84EF3E40466D8F9C14B15D402EA7CA189BEF3E4091F39B1513B15D40083D7A47B6EF3E40023122B412B15D40EB3F42FFCAEF3E40BEB1F37812B15D40BDC2A309EBEF3E40BB57F7D912B15D40DEA1D587FDEF3E40493AB99514B15D406BC5ED8623F03E40,628.007442409873
4497_4536,3,S#R#U#L,4536_4635#4536_4554#4536_4497#4536_4562,0105000020E61000000100000001020000000A0000002810D3B1EFB05D40B0FD166A3BED3E40703E9771DFB05D4050BB6A9B6BED3E40D0D83040CBB05D4050FF15B09FED3E40D0D72E05B5B05D40401B5FD9D7ED3E4018E691CDA2B05D407089579105EE3E40E86DC52E8CB05D40C0DBE5CA3CEE3E40B8A9782B84B05D40F038CF5C50EE3E404899B47981B05D4050830B1459EE3E40005E00637BB05D4060541EC66CEE3E40782B529B77B05D4030C3668A7DEE3E40,889.4636169081161
5010_4907,3,R#U#L,4907_4950#4907_5010#4907_4893,0105000020E61000000100000001020000000800000060B7A9D0ECAF5D4000BD06DD5BF43E400887DE4FDEAF5D401016C6041FF43E40A8E84DE7D8AF5D40E09C5E5703F43E405050EA35D7AF5D404024BDC1FAF33E4010528CA0CFAF5D40702E5F4DD4F33E4018C03F38CEAF5D40B089592ACDF33E40B083E59DBDAF5D4090E8683976F33E40401115C1B7AF5D4020CFBEF759F33E40,535.3689557637781
4536_4635,3,L#U#R,4635_4651#4635_4536#4635_4664,0105000020E610000001000000010200000010000000782B529B77B05D4030C3668A7DEE3E40A8FCEBAF73B05D40E0DD20ED8EEE3E4000390BC26FB05D40D06ED8B6A8EE3E4040B7485B6EB05D4050F0BADCB2EE3E40D05D20486BB05D40F0D8E320C9EE3E40A0AEF4C869B05D40A07D11E6D6EE3E40D875E70A68B05D40B030FDE5EFEE3E40E8527FD166B05D40C0BA784C18EF3E406013117F66B05D40005E98EC22EF3E40308FAC3165B05D4050EE93EA55EF3E402017272165B05D4010375B7158EF3E40B82B497864B05D4080771F4572EF3E40402E142A64B05D40101D3A5E7DEF3E40C85F4D1762B05D40F09D50B0C8EF3E402811F34260B05D40B00F594E09F03E40D0FB4A7D5FB05D403050F4C838F03E40,774.3176803334404
4536_4554,4,L#S#U#R,4554_4634#4554_4563#4554_4536#4554_4526,0105000020E610000001000000010200000009000000D589579B77B05D402B5A6F8A7DEE3E401F3AD25383B05D40C19547927BEE3E403AE65D7188B05D40329D29B67AEE3E407242744AB8B05D40F4EBFB2E74EE3E400D30FB8EC4B05D403C4EB08373EE3E409B115275D7B05D40EF4507667DEE3E408F98D176E9B05D4053C412A48CEE3E400E81C8C713B15D408B88E62AABEE3E40FB8990DB2BB15D408042A0A7BFEE3E40,1065.7317377860386
4630_4603,2,S#R#U,4603_4565#4603_4624#4603_4630,0105000020E61000000100000001020000000500000020A1C101C8AE5D40A44E822F33F03E40E6D99BCEC4AE5D409836FB871DF03E40B8BF824DC0AE5D407682054902F03E401EF57C72B9AE5D404342EFE8DAEF3E408311E267AFAE5D404CD91287A6EF3E40,278.0844830098889
4680_4630,2,S#L#U#R,4630_4603#4630_4616#4630_4680#4630_4650,0105000020E61000000100000001020000000400000094FA91A6EAAE5D40171D3D3C53F13E40C76904F2D7AE5D406F3A13E4B1F03E40D2B8C368CEAE5D403EB3033264F03E40E4BA6B01C8AE5D407BA50B3533F03E40,527.5726588765955
4671_4680,3,L#S#U#R,4680_4630#4680_4708#4680_4671#4680_4855,0105000020E61000000100000001020000000300000018C9D5CA2FAF5D40D08E75C71BF13E40C067D8B3FDAE5D40207DA1F443F13E40B8E790A6EAAE5D40B0FF493C53F13E40,414.0463643443078
4650_4708,3,L#U#R,4708_9173#4708_4650#4708_4680,0105000020E610000001000000010200000005000000183DF1E87BAE5D40C0093F57ACF03E4048EAAFEA7BAE5D4030738A60ACF03E40589300658EAE5D4040AD05D70BF13E40A87B47D49EAE5D40506D8C5162F13E40086E97AFABAE5D4050183B8BA5F13E40,505.3571172165207
